,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
23420,2010,1,4,2,25,-17,-10,1024,NW,29.95,0,0
36474,2010,1,4,3,26,-18,-11,1024,NW,39.78,0,0
20336,2010,1,4,4,28,-19,-11,1025,NW,48.72,0,0
34329,2010,1,4,5,26,-20,-12,1026,NW,55.87,0,0
40415,2010,1,4,6,20,-21,-12,1027,NW,64.81,0,0
14626,2010,1,4,7,29,-21,-13,1027,NW,73.75,0,0
12315,2010,1,4,8,26,-22,-13,1028,NW,80.9,0,0
42776,2010,1,4,9,27,-22,-13,1029,NW,90.73,0,0
16014,2010,1,4,10,27,-22,-12,1030,NW,100.56,0,0
12067,2010,1,4,11,25,-23,-12,1031,NW,108.61,0,0
39335,2010,1,4,12,29,-21,-11,1030,NW,117.55,0,0
6213,2010,1,4,13,32,-20,-10,1030,NW,127.38,0,0
34525,2010,1,4,14,28,-21,-10,1030,NW,136.32,0,0
9266,2010,1,4,15,29,-21,-9,1030,NW,145.26,0,0
35273,2010,1,4,16,30,-21,-9,1031,NW,152.41,0,0
39910,2010,1,4,17,30,-20,-11,1032,NW,159.56,0,0
40145,2010,1,4,18,28,-23,-11,1032,NW,165.37,0,0
12043,2010,1,4,19,26,-21,-12,1033,NW,171.18,0,0
26797,2010,1,4,20,31,-24,-12,1034,NW,180.12,0,0
472,2010,1,4,21,33,-24,-13,1034,NW,187.27,0,0
32814,2010,1,4,22,29,-24,-13,1035,NW,195.32,0,0
22430,2010,1,4,23,31,-26,-15,1035,NW,198.45,0,0
40238,2010,1,5,0,30,-26,-17,1035,NW,201.58,0,0
13876,2010,1,5,1,34,-26,-18,1035,NW,205.6,0,0
9294,2010,1,5,2,27,-26,-19,1035,NW,208.73,0,0
22870,2010,1,5,3,25,-27,-18,1035,NW,213.65,0,0
2164,2010,1,5,4,28,-27,-19,1035,NW,218.57,0,0
24913,2010,1,5,5,28,-27,-16,1034,NE,4.92,0,0
30633,2010,1,5,6,27,-26,-16,1035,NE,8.05,0,0
21456,2010,1,5,7,27,-27,-16,1034,NE,13.86,0,0
37403,2010,1,5,8,27,-26,-16,1035,NE,18.78,0,0
30998,2010,1,5,9,29,-26,-15,1035,NE,24.59,0,0
39743,2010,1,5,10,36,-25,-14,1035,NE,29.51,0,0
22851,2010,1,5,11,30,-25,-13,1035,NE,34.43,0,0
11735,2010,1,5,12,27,-25,-12,1034,NE,39.35,0,0
19471,2010,1,5,13,39,-24,-11,1032,NE,41.14,0,0
41210,2010,1,5,14,41,-22,-11,1032,cv,0.89,0,0
30017,2010,1,5,15,33,-23,-11,1031,NW,1.79,0,0
17912,2010,1,5,16,50,-24,-11,1031,NW,3.58,0,0
21868,2010,1,5,17,56,-23,-11,1031,NW,5.37,0,0
29139,2010,1,5,18,59,-23,-11,1032,NW,7.16,0,0
21567,2010,1,5,19,60,-22,-13,1033,NW,10.29,0,0
29907,2010,1,5,20,84,-22,-12,1033,NW,13.42,0,0
35772,2010,1,5,21,106,-24,-18,1033,NW,16.55,0,0
16563,2010,1,5,22,66,-22,-13,1034,NW,20.57,0,0
34420,2010,1,5,23,50,-22,-16,1033,NW,23.7,0,0
18426,2010,1,6,0,56,-25,-17,1033,NW,26.83,0,0
28878,2010,1,6,1,77,-25,-14,1033,NE,4.02,0,0
16632,2010,1,6,2,50,-26,-14,1034,NE,8.04,0,0
5158,2010,1,6,3,44,-26,-14,1033,NE,13.85,0,0
18094,2010,1,6,4,27,-26,-14,1033,NE,17.87,0,0
6549,2010,1,6,5,28,-26,-14,1033,NE,23.68,0,0
7725,2010,1,6,6,21,-26,-14,1033,NE,28.6,0,0
20651,2010,1,6,7,25,-26,-15,1034,NE,33.52,0,0
18261,2010,1,6,8,20,-26,-14,1034,NE,39.33,0,0
29118,2010,1,6,9,29,-25,-13,1035,NE,44.25,0,0
20315,2010,1,6,10,34,-25,-12,1035,NE,50.06,0,0
38288,2010,1,6,11,42,-24,-11,1035,NE,54.98,0,0
28009,2010,1,6,12,28,-24,-10,1034,NE,59,0,0
34649,2010,1,6,13,36,-22,-10,1033,NW,4.02,0,0
14167,2010,1,6,14,48,-22,-9,1033,NW,5.81,0,0
17357,2010,1,6,15,49,-22,-8,1033,cv,0.89,0,0
34513,2010,1,6,16,52,-22,-8,1033,NW,1.79,0,0
34595,2010,1,6,17,56,-21,-9,1033,NW,3.58,0,0
25651,2010,1,6,18,96,-22,-9,1033,NW,5.37,0,0
6996,2010,1,6,19,75,-22,-14,1034,cv,0.89,0,0
2540,2010,1,6,20,105,-22,-12,1035,NW,1.79,0,0
21757,2010,1,6,21,132,-21,-14,1034,NW,3.58,0,0
19700,2010,1,6,22,93,-22,-16,1035,NW,5.37,0,0
42041,2010,1,6,23,131,-21,-16,1035,NW,7.16,0,0
9264,2010,1,7,0,127,-21,-16,1035,NW,8.95,0,0
16459,2010,1,7,1,130,-21,-16,1035,cv,0.45,0,0
28014,2010,1,7,2,43,-22,-18,1036,cv,1.34,0,0
27506,2010,1,7,3,37,-23,-15,1036,NW,4.02,0,0
25725,2010,1,7,4,30,-24,-16,1035,NW,7.15,0,0
26376,2010,1,7,5,28,-25,-15,1035,NW,10.28,0,0
34172,2010,1,7,6,24,-24,-15,1035,NW,14.3,0,0
3924,2010,1,7,7,23,-25,-13,1036,NE,4.92,0,0
29720,2010,1,7,8,24,-24,-14,1036,NW,4.02,0,0
7371,2010,1,7,9,27,-23,-12,1036,NW,8.94,0,0
13911,2010,1,7,10,40,-22,-11,1036,NW,12.96,0,0
28299,2010,1,7,11,42,-20,-10,1036,NW,16.09,0,0
38469,2010,1,7,12,42,-21,-9,1035,NW,19.22,0,0
31596,2010,1,7,13,55,-21,-8,1034,NW,21.01,0,0
3711,2010,1,7,14,52,-20,-7,1033,NW,22.8,0,0
16956,2010,1,7,15,51,-20,-7,1032,NW,24.59,0,0
18379,2010,1,7,16,57,-18,-8,1032,NW,26.38,0,0
15095,2010,1,7,17,50,-19,-9,1032,NW,28.17,0,0
12746,2010,1,7,18,54,-19,-11,1032,NE,0.89,0,0
18087,2010,1,7,19,67,-18,-11,1033,NW,1.79,0,0
41686,2010,1,7,20,106,-19,-15,1032,NE,1.79,0,0
43520,2010,1,7,21,159,-19,-14,1032,cv,0.45,0,0
713,2010,1,7,22,198,-21,-14,1032,cv,1.34,0,0
13172,2010,1,7,23,190,-21,-16,1032,cv,2.23,0,0
23141,2010,1,8,0,210,-21,-17,1031,NW,1.79,0,0
18285,2010,1,8,1,195,-19,-16,1031,NW,3.58,0,0
39267,2010,1,8,2,275,-20,-16,1031,NE,0.89,0,0
2812,2010,1,8,3,164,-19,-15,1030,SE,0.89,0,0
15697,2010,1,8,4,110,-18,-15,1030,cv,0.45,0,0
17272,2010,1,8,5,100,-18,-15,1029,cv,1.34,0,0
22397,2010,1,8,6,81,-18,-15,1029,NW,1.79,0,0
18290,2010,1,8,7,71,-16,-13,1029,NE,0.89,0,0
36279,2010,1,8,8,66,-16,-12,1029,SE,0.89,0,0
40776,2010,1,8,9,92,-16,-12,1030,SE,1.78,0,0
25107,2010,1,8,10,135,-17,-10,1030,NE,0.89,0,0
1920,2010,1,8,11,155,-16,-10,1029,cv,0.89,0,0
32709,2010,1,8,12,198,-16,-9,1028,SE,3.13,0,0
35560,2010,1,8,13,250,-15,-8,1026,SE,4.92,0,0
20068,2010,1,8,14,200,-16,-8,1026,cv,0.89,0,0
28640,2010,1,8,15,231,-16,-8,1025,cv,1.78,0,0
19914,2010,1,8,16,250,-16,-8,1025,cv,2.67,0,0
35968,2010,1,8,17,212,-17,-8,1025,SE,0.89,0,0
11220,2010,1,8,18,219,-17,-9,1026,cv,0.45,0,0
41365,2010,1,8,19,227,-17,-11,1026,cv,1.34,0,0
38107,2010,1,8,20,226,-17,-12,1026,cv,1.79,0,0
22233,2010,1,8,21,225,-18,-14,1027,NW,1.79,0,0
26631,2010,1,8,22,168,-16,-9,1027,NW,4.92,0,0
24270,2010,1,8,23,169,-16,-11,1027,NW,6.71,0,0
14909,2010,1,9,0,165,-17,-13,1027,cv,0.89,0,0
39591,2010,1,9,1,159,-17,-13,1027,NW,3.13,0,0
9103,2010,1,9,2,167,-17,-14,1027,NW,4.92,0,0
41645,2010,1,9,3,196,-17,-15,1027,NW,8.05,0,0
23941,2010,1,9,4,169,-17,-13,1027,NW,9.84,0,0
13920,2010,1,9,5,155,-19,-16,1027,NW,13.86,0,0
27804,2010,1,9,6,119,-18,-15,1027,NW,17.88,0,0
3576,2010,1,9,7,106,-19,-15,1027,NW,21.9,0,0
8505,2010,1,9,8,93,-18,-14,1028,NW,25.92,0,0
36163,2010,1,9,9,84,-18,-9,1029,NE,5.81,0,0
30297,2010,1,9,10,73,-17,-7,1029,NE,11.62,0,0
27479,2010,1,9,11,66,-17,-6,1030,NE,17.43,0,0
19716,2010,1,9,12,40,-16,-6,1029,NE,23.24,0,0
23668,2010,1,9,13,49,-16,-5,1029,NE,28.16,0,0
21873,2010,1,9,14,50,-15,-4,1029,NE,33.08,0,0
19547,2010,1,9,15,49,-14,-4,1028,NE,37.1,0,0
31875,2010,1,9,16,41,-15,-4,1029,NE,38.89,0,0
12407,2010,1,9,17,37,-15,-4,1030,NW,1.79,0,0
15988,2010,1,9,18,45,-15,-7,1030,NE,3.13,0,0
25933,2010,1,9,19,44,-15,-6,1031,NW,3.13,0,0
4477,2010,1,9,20,54,-15,-7,1032,NW,4.92,0,0
2946,2010,1,9,21,50,-15,-6,1032,NE,3.13,0,0
19006,2010,1,9,22,47,-15,-8,1033,cv,0.45,0,0
19589,2010,1,9,23,66,-15,-8,1033,cv,0.9,0,0
6826,2010,1,10,0,75,-15,-11,1033,NW,0.89,0,0
37599,2010,1,10,1,82,-17,-13,1033,NW,1.78,0,0
34437,2010,1,10,2,66,-17,-12,1033,NW,4.91,0,0
19488,2010,1,10,3,83,-17,-13,1033,NW,8.04,0,0
27252,2010,1,10,4,62,-19,-14,1032,NW,9.83,0,0
20391,2010,1,10,5,40,-18,-13,1032,NW,12.96,0,0
25742,2010,1,10,6,23,-19,-13,1032,NW,16.09,0,0
43689,2010,1,10,7,25,-19,-14,1033,NW,19.22,0,0
6691,2010,1,10,8,27,-19,-14,1034,NW,22.35,0,0
10575,2010,1,10,9,35,-17,-12,1033,NW,24.14,0,0
35341,2010,1,10,10,50,-16,-7,1033,NE,4.02,0,0
40624,2010,1,10,11,70,-15,-7,1033,NW,3.13,0,0
9668,2010,1,10,12,75,-15,-7,1032,NW,6.26,0,0
24961,2010,1,10,13,58,-14,-6,1031,NW,9.39,0,0
26822,2010,1,10,14,70,-14,-6,1031,NW,12.52,0,0
19153,2010,1,10,15,68,-13,-5,1030,NW,14.31,0,0
10387,2010,1,10,16,71,-14,-5,1031,NW,16.1,0,0
21191,2010,1,10,17,88,-14,-6,1031,NW,19.23,0,0
22536,2010,1,10,18,84,-13,-7,1032,NW,23.25,0,0
40873,2010,1,10,19,83,-15,-6,1032,NW,27.27,0,0
23086,2010,1,10,20,66,-15,-6,1033,NW,30.4,0,0
17348,2010,1,10,21,27,-15,-4,1034,NW,35.32,0,0
7314,2010,1,10,22,24,-16,-4,1034,NW,44.26,0,0
4051,2010,1,10,23,22,-17,-5,1035,NW,52.31,0,0
2415,2010,1,11,0,23,-17,-6,1035,NW,60.36,0,0
10562,2010,1,11,1,27,-17,-8,1035,cv,0.89,0,0
29233,2010,1,11,2,23,-19,-11,1036,NW,4.02,0,0
18804,2010,1,11,3,17,-20,-11,1036,NW,8.94,0,0
19168,2010,1,11,4,17,-21,-11,1035,NE,4.02,0,0
41920,2010,1,11,5,16,-22,-12,1035,NW,3.13,0,0
38366,2010,1,11,6,16,-22,-12,1035,NE,4.92,0,0
11084,2010,1,11,7,20,-22,-13,1036,NW,5.81,0,0
33779,2010,1,11,8,20,-22,-9,1036,NW,13.86,0,0
28683,2010,1,11,9,18,-22,-10,1036,NW,21.91,0,0
19324,2010,1,11,10,25,-22,-9,1036,NW,29.06,0,0
39177,2010,1,11,11,26,-21,-9,1036,NW,33.08,0,0
4538,2010,1,11,12,27,-20,-6,1035,NW,42.02,0,0
41778,2010,1,11,13,28,-19,-5,1034,NW,50.96,0,0
36857,2010,1,11,14,15,-19,-5,1033,NW,59.01,0,0
42634,2010,1,11,15,24,-20,-5,1033,NW,66.16,0,0
43001,2010,1,11,16,13,-20,-5,1032,NW,71.97,0,0
16417,2010,1,11,17,13,-20,-5,1033,NW,76.89,0,0
14844,2010,1,11,18,13,-20,-7,1033,NW,81.81,0,0
37865,2010,1,11,19,17,-22,-7,1033,NW,85.83,0,0
7465,2010,1,11,20,20,-22,-8,1033,NW,89.85,0,0
38898,2010,1,11,21,27,-23,-10,1033,NW,91.64,0,0
28503,2010,1,11,22,20,-23,-13,1033,NW,93.43,0,0
9304,2010,1,11,23,15,-22,-12,1032,cv,0.89,0,0
16869,2010,1,12,0,21,-22,-15,1031,cv,1.78,0,0
27810,2010,1,12,1,21,-22,-14,1031,NE,1.79,0,0
37935,2010,1,12,2,37,-22,-14,1031,NW,0.89,0,0
12202,2010,1,12,3,26,-24,-18,1030,NE,1.79,0,0
11502,2010,1,12,4,15,-24,-13,1030,NE,3.58,0,0
30034,2010,1,12,5,9,-25,-14,1030,NW,3.13,0,0
9003,2010,1,12,6,11,-24,-14,1030,NW,7.15,0,0
17064,2010,1,12,7,11,-25,-12,1030,NW,12.96,0,0
13401,2010,1,12,8,16,-26,-14,1030,NW,16.98,0,0
3510,2010,1,12,9,13,-25,-12,1031,NW,21,0,0
26899,2010,1,12,10,15,-25,-11,1031,NW,26.81,0,0
5827,2010,1,12,11,21,-24,-11,1030,NW,35.75,0,0
12033,2010,1,12,12,24,-23,-11,1029,NW,47.82,0,0
17702,2010,1,12,13,22,-22,-11,1029,NW,63.02,0,0
33298,2010,1,12,14,22,-23,-11,1029,NW,75.98,0,0
40774,2010,1,12,15,22,-22,-11,1029,NW,88.05,0,0
8484,2010,1,12,16,19,-23,-11,1030,NW,101.01,0,0
18232,2010,1,12,17,23,-24,-11,1030,NW,109.06,0,0
2038,2010,1,12,18,25,-24,-11,1032,NW,118,0,0
36571,2010,1,12,19,25,-23,-11,1032,NW,126.05,0,0
11842,2010,1,12,20,31,-23,-12,1032,NW,134.1,0,0
20256,2010,1,12,21,25,-24,-12,1033,NW,142.15,0,0
4910,2010,1,12,22,22,-23,-12,1033,NW,150.2,0,0
39354,2010,1,12,23,22,-23,-12,1034,NW,160.03,0,0
37839,2010,1,13,0,15,-24,-12,1034,NW,169.86,0,0
21569,2010,1,13,1,16,-24,-12,1033,NW,178.8,0,0
37530,2010,1,13,2,11,-25,-12,1033,NW,189.98,0,0
31599,2010,1,13,3,11,-24,-13,1033,NW,198.03,0,0
14437,2010,1,13,4,12,-25,-12,1032,NW,205.18,0,0
19290,2010,1,13,5,11,-25,-12,1033,NW,215.01,0,0
25756,2010,1,13,6,12,-25,-12,1032,NW,226.19,0,0
5297,2010,1,13,7,27,-25,-12,1032,NW,235.13,0,0
4729,2010,1,13,8,28,-25,-12,1032,NW,243.18,0,0
789,2010,1,13,9,34,-23,-11,1033,NW,252.12,0,0
33619,2010,1,13,10,33,-23,-10,1033,NW,257.93,0,0
375,2010,1,13,11,36,-22,-9,1033,NW,263.74,0,0
3921,2010,1,13,12,26,-21,-8,1031,NW,270.89,0,0
37690,2010,1,13,13,49,-21,-6,1030,NW,278.94,0,0
15201,2010,1,13,14,52,-20,-5,1029,NW,286.99,0,0
35798,2010,1,13,15,47,-22,-5,1028,NW,294.14,0,0
24143,2010,1,13,16,47,-21,-5,1028,NW,299.06,0,0
19209,2010,1,13,17,39,-19,-7,1028,SE,1.79,0,0
10969,2010,1,13,18,59,-19,-8,1028,cv,0.45,0,0
27524,2010,1,13,19,76,-20,-9,1028,cv,1.34,0,0
36428,2010,1,13,20,96,-19,-10,1027,SE,1.79,0,0
1729,2010,1,13,21,95,-19,-13,1027,cv,0.89,0,0
40315,2010,1,13,22,68,-18,-12,1027,cv,1.78,0,0
18862,2010,1,13,23,65,-18,-13,1027,NE,0.89,0,0
11077,2010,1,14,0,75,-18,-14,1026,NE,1.78,0,0
12587,2010,1,14,1,257,-20,-15,1025,NE,2.67,0,0
10638,2010,1,14,2,174,-20,-15,1025,NW,0.89,0,0
37728,2010,1,14,3,164,-20,-16,1025,NW,1.78,0,0
2966,2010,1,14,4,161,-20,-16,1024,NW,3.57,0,0
35916,2010,1,14,5,137,-21,-17,1024,NW,6.7,0,0
4353,2010,1,14,6,92,-19,-14,1023,NW,10.72,0,0
25945,2010,1,14,7,64,-21,-17,1023,NW,13.85,0,0
43418,2010,1,14,8,87,-19,-15,1024,NW,15.64,0,0
27313,2010,1,14,9,87,-19,-14,1024,NW,18.77,0,0
37034,2010,1,14,10,84,-18,-10,1024,NW,22.79,0,0
41247,2010,1,14,11,95,-17,-9,1023,NW,24.58,0,0
14171,2010,1,14,12,79,-16,-6,1023,NW,26.37,0,0
28995,2010,1,14,13,75,-17,-5,1022,NW,28.16,0,0
34571,2010,1,14,14,79,-16,-5,1022,NW,29.95,0,0
32280,2010,1,14,15,86,-15,-4,1022,NW,33.08,0,0
11063,2010,1,14,16,72,-16,-4,1023,cv,0.89,0,0
16166,2010,1,14,17,89,-15,-5,1025,SE,1.79,0,0
38707,2010,1,14,18,94,-14,-3,1026,NW,5.81,0,0
14450,2010,1,14,19,69,-16,-3,1027,NW,11.62,0,0
30937,2010,1,14,20,49,-15,-4,1029,NW,20.56,0,0
22472,2010,1,14,21,33,-16,-5,1031,NW,24.58,0,0
32865,2010,1,14,22,27,-17,-6,1032,NE,3.13,0,0
24595,2010,1,14,23,20,-18,-6,1033,NE,8.05,0,0
8688,2010,1,15,0,36,-19,-7,1034,NE,13.86,0,0
28587,2010,1,15,1,37,-17,-8,1035,NW,5.81,0,0
8629,2010,1,15,2,30,-18,-10,1035,NW,11.62,0,0
3281,2010,1,15,3,18,-19,-10,1036,NW,14.75,0,0
6057,2010,1,15,4,21,-19,-9,1036,NW,19.67,0,0
16696,2010,1,15,5,13,-19,-9,1036,NE,7.15,0,0
4154,2010,1,15,6,23,-20,-9,1037,NE,12.96,0,0
7538,2010,1,15,7,26,-19,-9,1037,NE,18.77,0,0
2375,2010,1,15,8,27,-19,-8,1038,NE,22.79,0,0
18306,2010,1,15,9,30,-19,-8,1039,NE,28.6,0,0
39701,2010,1,15,10,28,-19,-7,1039,NE,35.75,0,0
12195,2010,1,15,11,26,-18,-6,1039,NE,41.56,0,0
22729,2010,1,15,12,26,-18,-5,1039,NE,45.58,0,0
16552,2010,1,15,13,31,-17,-4,1038,NW,1.79,0,0
10460,2010,1,15,14,35,-16,-3,1037,cv,0.89,0,0
22433,2010,1,15,15,36,-17,-3,1037,cv,1.78,0,0
7775,2010,1,15,16,37,-17,-2,1037,cv,2.23,0,0
8283,2010,1,15,17,64,-15,-5,1036,SE,0.89,0,0
27475,2010,1,15,18,83,-15,-6,1036,cv,0.89,0,0
2848,2010,1,15,19,91,-15,-6,1037,cv,1.78,0,0
26408,2010,1,15,20,90,-14,-6,1037,SE,1.79,0,0
6934,2010,1,15,21,102,-14,-8,1036,SE,3.58,0,0
40724,2010,1,15,22,94,-14,-10,1037,cv,0.89,0,0
14676,2010,1,15,23,87,-15,-11,1036,cv,1.78,0,0
40422,2010,1,16,0,141,-15,-11,1036,cv,2.67,0,0
5948,2010,1,16,1,211,-16,-13,1036,NE,0.89,0,0
6086,2010,1,16,2,242,-16,-12,1036,cv,0.89,0,0
26753,2010,1,16,3,271,-16,-13,1035,NE,0.89,0,0
33856,2010,1,16,4,249,-15,-12,1035,NE,1.78,0,0
29265,2010,1,16,5,200,-14,-10,1034,NW,1.79,0,0
38008,2010,1,16,6,147,-15,-10,1034,NW,2.68,0,0
8133,2010,1,16,7,114,-15,-11,1034,NW,4.47,0,0
2321,2010,1,16,8,102,-15,-11,1034,NW,6.26,0,0
19305,2010,1,16,9,108,-14,-9,1034,NW,8.05,0,0
24333,2010,1,16,10,135,-14,-9,1034,NW,9.84,0,0
36699,2010,1,16,11,120,-13,-6,1034,cv,0.89,0,0
1427,2010,1,16,12,148,-13,-5,1033,NW,1.79,0,0
30926,2010,1,16,13,127,-12,-4,1031,cv,0.89,0,0
31546,2010,1,16,14,128,-12,-3,1031,cv,1.78,0,0
31182,2010,1,16,15,140,-12,-3,1030,cv,2.67,0,0
7999,2010,1,16,16,148,-11,-3,1030,cv,3.56,0,0
7106,2010,1,16,17,150,-11,-4,1031,NE,0.89,0,0
9896,2010,1,16,18,154,-12,-7,1031,cv,0.89,0,0
15451,2010,1,16,19,197,-12,-7,1032,cv,1.78,0,0
9217,2010,1,16,20,235,-12,-8,1032,cv,2.23,0,0
13743,2010,1,16,21,261,-12,-9,1032,cv,3.12,0,0
37417,2010,1,16,22,269,-13,-11,1032,NW,0.89,0,0
10666,2010,1,16,23,266,-14,-11,1032,NW,2.68,0,0
17820,2010,1,17,0,263,-15,-12,1032,NW,5.81,0,0
37102,2010,1,17,1,241,-14,-11,1032,cv,0.45,0,0
13220,2010,1,17,2,205,-14,-11,1031,cv,1.34,0,0
32710,2010,1,17,3,160,-14,-12,1031,NW,1.79,0,0
20021,2010,1,17,4,150,-14,-12,1031,NW,3.58,0,0
35568,2010,1,17,5,148,-14,-10,1030,NW,6.71,0,0
11627,2010,1,17,6,208,-14,-11,1030,NW,9.84,0,0
16714,2010,1,17,7,209,-15,-10,1030,NW,11.63,0,0
19752,2010,1,17,8,183,-13,-10,1030,NW,14.76,0,0
18080,2010,1,17,9,161,-13,-8,1030,NW,17.89,0,0
16347,2010,1,17,10,182,-12,-6,1030,cv,0.45,0,0
14246,2010,1,17,11,230,-11,-5,1030,cv,1.34,0,0
28606,2010,1,17,12,170,-11,-4,1029,cv,2.23,0,0
22638,2010,1,17,13,172,-11,-3,1028,cv,3.12,0,0
33573,2010,1,17,14,154,-10,-1,1027,cv,4.01,0,0
42757,2010,1,17,15,166,-11,-1,1027,cv,4.46,0,0
33082,2010,1,17,16,177,-10,-1,1026,SE,0.89,0,0
19449,2010,1,17,17,191,-10,-3,1026,SE,1.78,0,0
2962,2010,1,17,18,212,-10,-5,1027,SE,2.67,0,0
28349,2010,1,17,19,250,-10,-6,1027,NE,0.89,0,0
17495,2010,1,17,20,268,-11,-7,1027,cv,0.45,0,0
5176,2010,1,17,21,317,-10,-7,1027,cv,0.9,0,0
29808,2010,1,17,22,291,-11,-9,1027,cv,1.35,0,0
41395,2010,1,17,23,313,-12,-9,1027,NE,0.89,0,0
32800,2010,1,18,0,282,-12,-10,1028,cv,0.89,0,0
8647,2010,1,18,1,282,-13,-11,1028,NW,3.13,0,0
